0.296071,L_is.x,L_is.y,L_is.z,Delta_L,aCMDin.x,aCMDin.y,aCMDin.z,aCMDb.x,aCMDb.y,aCMDb.z,Throttle,Aileron,Rudder,Elevator
0.000000,0.200012,-0.019999,-9.798990,-0.278569,-0.218223,-2.418912,-0.002580,0.291764,-2.427184,-1.959798,0.059214,0.047624,1.468772
nan,-0.000610,-0.101287,-0.039389,-9.891321,-2.235123,-19.27622,-214.6965,-0.271614,3.464440,-215.5437,-1.978264,nan,0.681631,-41.15442
0.259227,-0.001251,-0.525024,-0.058609,-9.471713,-0.132269,-1.816111,-20.48767,-0.024007,0.256333,-20.56682,-1.894343,nan,0.039363,-2.158863
0.260585,-0.001617,-0.612457,-0.078289,-9.382557,-0.138602,-1.688837,-19.18697,-0.020389,0.257646,-19.25991,-1.876511,nan,0.039332,-1.897397
0.123091,-0.002288,-1.053589,-0.097689,-8.941890,-0.059814,-0.840710,-9.698869,-0.007880,0.122781,-9.734643,-1.788378,nan,0.011791,0.007835
0.099895,-0.002807,-1.327362,-0.117339,-8.667459,-0.048448,-0.659836,-7.685743,-0.005218,0.099729,-7.713521,-1.733492,nan,0.006828,0.412173
0.096836,-0.003204,-1.547028,-0.136899,-8.446923,-0.051143,-0.584026,-6.764677,-0.013557,0.096684,-6.789331,-1.689385,nan,0.006101,0.597149
0.095523,-0.003356,-1.832275,-0.155309,-8.161151,-0.057943,-0.494843,-5.729973,-0.028260,0.095378,-5.750732,-1.632230,nan,0.006227,0.805340
0.091991,-0.002716,-2.370483,-0.169869,-7.623436,-0.070590,-0.324662,-4.064102,-0.034685,0.091861,-4.076478,-1.524687,nan,0.008058,1.141703
0.082251,-0.001251,-2.794525,-0.185139,-7.199348,-0.072014,-0.212742,-3.133850,-0.018076,0.082158,-3.140762,-1.439870,nan,0.010028,1.330063
0.082635,-0.000549,-2.846161,-0.203979,-7.146539,-0.075526,-0.196633,-3.117492,-0.011351,0.082541,-3.123489,-1.429308,nan,0.012042,1.333840
0.040513,0.001953,-3.470947,-0.224539,-6.521797,-0.042411,-0.121507,-2.290949,0.010455,0.040502,-2.294179,-1.304359,nan,0.009706,1.499915
0.022846,0.002777,-3.590424,-0.246389,-6.401131,-0.026989,-0.124649,-2.317018,0.015367,0.022844,-2.320361,-1.280226,nan,0.008054,1.494350
0.002777,0.003753,-3.903381,-0.270089,-6.087284,-0.009422,-0.140419,-2.288435,0.017485,0.002777,-2.292690,-1.217457,nan,0.006231,1.498797
-0.016706,0.004394,-4.346802,-0.294859,-5.643207,0.008373,-0.182512,-2.316159,0.016524,-0.016706,-2.323236,-1.128641,nan,0.003676,1.490131
-0.025522,0.004455,-4.726929,-0.318939,-5.262321,0.016876,-0.232476,-2.390704,0.016748,-0.025519,-2.401846,-1.052464,nan,0.001921,1.471035
-0.028360,0.004455,-4.591492,-0.339389,-5.395980,0.019078,-0.257342,-2.587446,0.017779,-0.028356,-2.600066,-1.079196,nan,0.001293,1.430968
-0.030631,0.003967,-5.036438,-0.362799,-4.950510,0.022463,-0.328959,-2.651916,0.008427,-0.030626,-2.672147,-0.990102,nan,-0.000150,1.411867
-0.025990,0.003387,-5.480713,-0.383079,-4.505915,0.020164,-0.407059,-2.708681,-0.006480,-0.025987,-2.739040,-0.901182,nan,-0.000966,1.393085
-0.019018,0.002899,-5.859375,-0.400319,-4.126965,0.016010,-0.476045,-2.747554,-0.019831,-0.019017,-2.788399,-0.825393,nan,-0.001500,1.377849
