VxL.x,VxL.y,VxL.z,normL,errorAileron,errorRudder,errorElevator,errorThrottle,P_des.x,P_des.y,P_des.z,P_is.x,P_is.y,P_is.z,L_is.x,L_is.y,L_is.z,aCMDin.x,aCMDin.y,aCMDin.z,aCMDb.x,aCMDb.y,aCMDb.z,ACMDb.x,ACMD.y,ACMDb.z
1.073319,0.024382,0.487640,0.000199,-0.010220,-0.000043,-0.000095,0.500000,0.000000,0.000000,0.000000,-365.0009,-399.8396,-0.880590,0.000000,100.0000,-5.000000,-0.000043,0.000007,0.000095,-0.000000,0.000043,0.000095,0.823755,-0.010220,-9.775252
1.776965,0.035153,0.703062,0.000199,0.000275,-0.000080,-0.000203,0.500000,0.000000,0.000000,0.000000,-365.0000,-399.7618,-0.880009,0.000000,100.0000,-5.000000,-0.000080,0.000017,0.000201,-0.000000,0.000080,0.000203,0.848875,0.000275,-9.773001
2.187415,0.033851,0.677030,0.000199,0.008786,-0.000089,-0.000290,0.500000,0.000000,0.000000,0.000000,-364.9992,-399.6941,-0.879630,0.000000,100.0000,-5.000000,-0.000090,0.000024,0.000290,-0.000001,0.000089,0.000290,0.870862,0.008786,-9.770973
2.519138,0.026647,0.532956,0.000199,0.016005,-0.000080,-0.000385,0.500000,0.000000,0.000000,0.000000,-364.9986,-399.6158,-0.879060,0.000000,100.0000,-5.000000,-0.000081,0.000032,0.000383,-0.000002,0.000080,0.000385,0.892257,0.016004,-9.768940
3.229077,0.009891,0.197824,0.000199,0.022305,-0.000034,-0.000591,0.500000,0.000000,0.000000,0.000000,-364.9980,-399.4778,-0.877840,0.000000,100.0000,-5.000000,-0.000036,0.000050,0.000589,-0.000005,0.000034,0.000591,0.917456,0.022303,-9.766386
4.045428,-0.002300,-0.046006,0.000199,0.023038,0.000011,-0.000832,0.500000,0.000000,0.000000,0.000000,-364.9978,-399.3606,-0.876990,0.000000,100.0000,-5.000000,0.000009,0.000074,0.000829,-0.000004,-0.000011,0.000832,0.928590,0.023036,-9.765092
4.834966,-0.009737,-0.194744,0.000199,0.021439,0.000046,-0.001086,0.500000,0.000000,0.000000,0.000000,-364.9980,-399.2544,-0.876560,0.000000,100.0000,-5.000000,0.000043,0.000100,0.001081,-0.000002,-0.000046,0.001086,0.933573,0.021437,-9.764367
5.811437,-0.015836,-0.316738,0.000199,0.017497,0.000081,-0.001440,0.500000,0.000000,0.000000,0.000000,-364.9983,-399.1119,-0.876490,0.000000,100.0000,-5.000000,0.000078,0.000139,0.001433,0.000002,-0.000081,0.001440,0.934847,0.017496,-9.763901
6.823872,-0.020005,-0.400103,0.000199,0.010727,0.000113,-0.001893,0.500000,0.000000,0.000000,0.000000,-364.9989,-398.9104,-0.877080,0.000000,100.0000,-5.000000,0.000111,0.000187,0.001884,0.000008,-0.000113,0.001893,0.928994,0.010727,-9.764015
7.250770,-0.018487,-0.369751,0.000199,0.005845,0.000111,-0.002167,0.500000,0.000000,0.000000,0.000000,-364.9993,-398.7524,-0.877769,0.000000,100.0000,-5.000000,0.000110,0.000213,0.002157,0.000009,-0.000111,0.002167,0.920206,0.005845,-9.764577
7.501571,-0.011678,-0.233568,0.000199,0.001291,0.000076,-0.002435,0.500000,0.000000,0.000000,0.000000,-364.9997,-398.5473,-0.878570,0.000000,100.0000,-5.000000,0.000075,0.000233,0.002424,0.000008,-0.000076,0.002435,0.907409,0.001291,-9.765508
7.613468,-0.004803,-0.096069,0.000199,-0.000619,0.000032,-0.002619,0.500000,0.000000,0.000000,0.000000,-364.9998,-398.3823,-0.879050,0.000000,100.0000,-5.000000,0.000033,0.000246,0.002608,0.000006,-0.000032,0.002619,0.897541,-0.000619,-9.766235
7.761623,0.004282,0.085646,0.000199,-0.000749,-0.000031,-0.002855,0.500000,0.000000,0.000000,0.000000,-364.9999,-398.1677,-0.879460,0.000000,100.0000,-5.000000,-0.000031,0.000262,0.002843,0.000004,0.000031,0.002855,0.887281,-0.000749,-9.766936
8.045127,0.013107,0.262141,0.000199,0.002057,-0.000103,-0.003185,0.500000,0.000000,0.000000,0.000000,-364.9996,-397.8955,-0.879739,0.000000,100.0000,-5.000000,-0.000103,0.000287,0.003172,0.000002,0.000103,0.003185,0.879463,0.002057,-9.767313
8.297396,0.016098,0.321962,0.000199,0.004723,-0.000131,-0.003428,0.500000,0.000000,0.000000,0.000000,-364.9994,-397.7181,-0.879840,0.000000,100.0000,-5.000000,-0.000133,0.000308,0.003414,0.000001,0.000131,0.003428,0.877606,0.004723,-9.767237
8.703557,0.016272,0.325451,0.000199,0.008443,-0.000138,-0.003784,0.500000,0.000000,0.000000,0.000000,-364.9990,-397.4857,-0.879900,0.000000,100.0000,-5.000000,-0.000141,0.000339,0.003768,0.000001,0.000138,0.003784,0.878387,0.008443,-9.766808
9.297441,0.012098,0.241964,0.000199,0.012123,-0.000106,-0.004282,0.500000,0.000000,0.000000,0.000000,-364.9986,-397.1913,-0.879940,0.000000,100.0000,-5.000000,-0.000111,0.000385,0.004265,0.000000,0.000106,0.004282,0.883174,0.012123,-9.765873
9.870859,0.005827,0.116557,0.000199,0.013922,-0.000049,-0.004780,0.500000,0.000000,0.000000,0.000000,-364.9984,-396.9063,-0.879910,0.000000,100.0000,-5.000000,-0.000056,0.000432,0.004761,-0.000001,0.000049,0.004780,0.889914,0.013922,-9.764760
